DAY CARE CENTER,BLOSSOM VALLEY ELEMENTARY SCHOOL PRESCHOOL,LICENSED,1,2,9863 OAKMONT TERRACE,EL CAJON,92021
DAY CARE CENTER,BONITA COUNTRY DAY PRESCHOOL,CLOSED,0,0,625 OTAY LAKES ROAD,CHULA VISTA,91913
DAY CARE CENTER,BONITA LEARNING ACADEMY,LICENSED,1,1,3368 BONITA ROAD,CHULA VISTA,91910
DAY CARE CENTER,BONITA MONTESORRI,LICENSED,0,0,4980 BONITA ROAD,BONITA,91902
DAY CARE CENTER,BORREGO SPRINGS CHILDREN'S CENTER,CLOSED,0,1,580 CIRCLE J DRIVE,BORREGO SPRINGS,92004
DAY CARE CENTER,BORREGO SPRINGS CHILDREN'S CENTER,LICENSED,0,0,580 CIRCLE J DRIVE,BORREGO SPRINGS,92004
DAY CARE CENTER,BORREGO SPRINGS STATE PRESCHOOL,LICENSED,0,2,1315 PALM CANYON DRIVE,BORREGO SPRINGS,92004
DAY CARE CENTER,BOSTONIA GLOBAL CHARTER,LICENSED,0,0,1390 EAST BROADWAY,EL CAJON,92021
DAY CARE CENTER,BOYS & GIRLS CLUBS OF GREATER SAN DIEGO,LICENSED,0,0,115 W.  WOODWARD AVE,ESCONDIDO,92025
DAY CARE CENTER,BRIGHT BEGINNINGS CHRISTIAN PRESCHOOL,LICENSED,0,2,390 MIMOSA AVENUE,VISTA,92081
DAY CARE CENTER,BRIGHT BEGINNINGS LEARNING ACADEMY,CLOSED,0,1,5185 ACUNA STREET,SAN DIEGO,92117
DAY CARE CENTER,BRIGHT BEGINNINGS LEARNING ACADEMY,LICENSED,0,0,3219 CLAIREMONT MESA BOULEVARD,SAN DIEGO,92117
DAY CARE CENTER,BRIGHT HORIZONS AT DEL MAR,LICENSED,0,1,3720 ARROYO SORRENTO ROAD,SAN DIEGO,92130
DAY CARE CENTER,BRIGHT HORIZONS AT ENCINITAS,LICENSED,0,1,1430 AMARGOSA DRIVE,ENCINITAS,92024
DAY CARE CENTER,BRIGHT HORIZONS AT TIERRASANTA,LICENSED,0,0,6090 SANTO ROAD,SAN DIEGO,92124
DAY CARE CENTER,BRIGHT HORIZONS AT UTC,LICENSED,0,0,9255 TOWNE CENTRE DRIVE #150,SAN DIEGO,92121
DAY CARE CENTER,BROOKLYN CHILDREN'S CENTER,CLOSED,0,0,3003 A STREET,SAN DIEGO,92102
DAY CARE CENTER,BUDS AND BLOSSOMS PRESCHOOL,LICENSED,0,0,2809 S MISSION RD,FALLBROOK,92028
DAY CARE CENTER,BUDS AND BLOSSOMS PRESCHOOL LLC,PENDING,0,0,420 N EL CAMINO REAL SUITE 102,OCEANSIDE,92058
DAY CARE CENTER,BUILDING KIDZ VISTA,LICENSED,0,0,777 TAYLOR STREET,VISTA,92084
DAY CARE CENTER,BUNNYBEARS PRESCHOOL,LICENSED,0,0,5358 JACKSON DRIVE,LA MESA,91942
DAY CARE CENTER,BUNNYBEARS PRESCHOOL SANTEE,LICENSED,0,0,8559 FANITA DRIVE,SANTEE,92071
DAY CARE CENTER,BURBANK STATE PRESCHOOL,LICENSED,0,0,2146 JULIAN AVENUE,SAN DIEGO,92113
DAY CARE CENTER,BUSY BEES CHILD DEVELOPMENT CENTER,LICENSED,0,0,561 THIRD AVENUE,CHULA VISTA,91910
DAY CARE CENTER,CABRILLO PRESCHOOL,LICENSED,0,0,3120 TALBOT STREET,SAN DIEGO,92106
DAY CARE CENTER,CADMAN PRESCHOOL CENTER,LICENSED,0,0,4370 KAMLOOP AVENUE,SAN DIEGO,92117
DAY CARE CENTER,CAJON VALLEY MADISON ELEMENTARY STATE PRESCHOOL,PENDING,0,0,1615 EAST MADISON AVENUE,EL CAJON,92019
DAY CARE CENTER,CAJON VALLEY STATE FUNDED PRESCHOOL PROGRAM,LICENSED,0,0,1609 EAST MADISON AVENUE,EL CAJON,92019
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - ANZA ELEMENTARY,LICENSED,0,0,1005 SOUTH ANZA STREET,EL CAJON,92020
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - JAMACHA,LICENSED,0,0,2962 JAMUL DRIVE,EL CAJON,92019
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - JOHNSON,LICENSED,0,0,500 WEST MADISON AVENUE,EL CAJON,92020
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - LEXINGTON ELEM.,LICENSED,0,0,1145 REDWOOD AVENUE,EL CAJON,92020
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - MAGNOLIA ELEMENTARY,LICENSED,0,0,650 GREENFIELD DRIVE,EL CAJON,92021
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - NARANCA ELEMENTARY,LICENSED,0,0,1030 NARANCA AVENUE,EL CAJON,92021
DAY CARE CENTER,CAJON VALLEY STATE PRESCHOOL - RIOS ELEMENTARY,LICENSED,0,1,14314 RIOS CANYON ROAD,EL CAJON,92021
DAY CARE CENTER,CAL-SAFE ESCONDIDO EARLY CHILDHOOD EDUCATION CTR,LICENSED,0,0,2200 GLENRIDGE ROAD,ESCONDIDO,92027
DAY CARE CENTER,CALVARY CHRISTIAN ACADEMY,LICENSED,0,0,1771 EAST PALOMAR STREET,CHULA VISTA,91913
DAY CARE CENTER,CALVIN CHRISTIAN PRESCHOOL,LICENSED,0,0,1868 N. BROADWAY,ESCONDIDO,92026
DAY CARE CENTER,CAMBRIDGE SCHOOL THE,LICENSED,0,2,12855 BLACK MOUNTAIN ROAD,SAN DIEGO,92129
DAY CARE CENTER,CAMDEN HEAD START,LICENSED,0,0,551 FARRAGUT CIRCLE,EL CAJON,92020
DAY CARE CENTER,CAMPO KUMEYAAY HEAD START,LICENSED,0,0,39639 OLD HIGHWAY 80,BOULEVARD,91905
DAY CARE CENTER,CAMPO PRESCHOOL,LICENSED,0,0,1654 BUCKMAN SPRINGS ROAD,CAMPO,91906
DAY CARE CENTER,CANYON RIM CHILDREN'S CENTER INC.,LICENSED,0,1,6801 EASTON COURT,SAN DIEGO,92120
DAY CARE CENTER,CAPSLO BOYS & GIRLS CLUB HEAD START,LICENSED,0,0,12988 BOWRON ROAD,POWAY,92064
DAY CARE CENTER,CAPSLO MIDLAND HEAD START,LICENSED,0,0,13910 MIDLAND ROAD,POWAY,92064
DAY CARE CENTER,CAPSLO NUEVO HEAD START,LICENSED,0,0,1401C HANSON LANE,RAMONA,92065
DAY CARE CENTER,CAPSLO RAMONA HEAD START,LICENSED,0,0,415 EIGHTH STREET,RAMONA,92065
DAY CARE CENTER,CARLSBAD CHILDREN'S GARDEN,CLOSED,0,0,2518 JEFFERSON STREET,CARLSBAD,92008
DAY CARE CENTER,CARLSBAD COUNTRY DAY SCHOOL,LICENSED,0,1,5150 HEMINGWAY DRIVE,CARLSBAD,92008
DAY CARE CENTER,CARMEL MOUNTAIN PRESCHOOL,LICENSED,0,7,9510 CARMEL MOUNTAIN ROAD,SAN DIEGO,92129
DAY CARE CENTER,CARMEL VALLEY MONTESSORI SCHOOL,LICENSED,1,4,3800A MYKONOS LANE,SAN DIEGO,92130
DAY CARE CENTER,CARMEL VALLEY PRESCHOOL,LICENSED,0,0,13340 HAYFORD WAY,SAN DIEGO,92130
DAY CARE CENTER,CARSON STATE PRESCHOOL,CLOSED,0,0,6905 KRAMER STREET,SAN DIEGO,92111
DAY CARE CENTER,CASA DE AMPARO'S CHILD DEVELOPMENT CENTER,CLOSED,0,0,103 RANCHO DEL ORO DRIVE,OCEANSIDE,92057
DAY CARE CENTER,CASA DE NINOS CHILD DEVELOPMENT CENTER,LICENSED,0,0,1718 MISSION AVENUE,OCEANSIDE,92054
DAY CARE CENTER,CASA DE ORO CHRISTIAN PRESCHOOL,LICENSED,0,0,10195 MADRID WAY,SPRING VALLEY,91977
DAY CARE CENTER,CASA DE ORO TEMPORARY CENTER,CLOSED,0,0,858 JACKMAN STREET,EL CAJON,92020
DAY CARE CENTER,CASA MONTESSORI DE CARLSBAD,LICENSED,0,1,3470 MADISON STREET,CARLSBAD,92008
DAY CARE CENTER,CDA - FINNEY CHILD DEVELOPMENT CENTER,CLOSED,0,0,3950 BYRD STREET,SAN DIEGO,92154
DAY CARE CENTER,CDA - PARKS CHILD DEVELOPMENT CENTER,CLOSED,0,2,2200 E AVENUE,NATIONAL CITY,91950
DAY CARE CENTER,CDA HILLTOP CHILD DEVELOPMENT CENTER,CLOSED,0,0,690 CORTE MARIA AVENUE,CHULA VISTA,91910
DAY CARE CENTER,CENTER FOR CHILDREN AND FAMILIES AT CAL STATE SMS,LICENSED,0,0,453 LA MOREE ROAD,SAN MARCOS,92078
DAY CARE CENTER,CENTER FOR YOUNG IMAGINATIONS,LICENSED,0,1,4885 HARBINSON AVENUE,LA MESA,91942
DAY CARE CENTER,CENTRAL ELEMENTARY STATE PRESCHOOL,LICENSED,0,0,4063 POLK AVENUE,SAN DIEGO,92105
DAY CARE CENTER,CENTRAL MONTESSORI SCHOOL,LICENSED,0,1,286 NORTH EL CAMINO REAL,ENCINITAS,92024
DAY CARE CENTER,CENTRAL STATE PRESCHOOL,LICENSED,0,3,122 W. FOURTH AVENUE,ESCONDIDO,92025
DAY CARE CENTER,CENTRAL STATE PRESCHOOL,LICENSED,0,0,910 E AVENUE,NATIONAL CITY,91950
DAY CARE CENTER,CFC LEARNING CENTER LLC,LICENSED,0,0,2640-2642 OCEANSIDE BLVD.,OCEANSIDE,92054
DAY CARE CENTER,CHABAD PRESCHOOL,LICENSED,0,5,10785 POMERADO ROAD,SAN DIEGO,92131
DAY CARE CENTER,CHAI ALTMAN PRESCHOOL,LICENSED,0,5,16934 CHABAD WAY,POWAY,92064
DAY CARE CENTER,CHARLEY BROWN CHILDREN'S CENTER,LICENSED,0,2,5921 JACKSON DRIVE,LA MESA,91942
DAY CARE CENTER,CHASE RANCH MONTESSORI SCHOOL,LICENSED,0,2,1090 SOUTH ANZA STREET,EL CAJON,92020
DAY CARE CENTER,CHAVEZ STATE PRESCHOOL,LICENSED,0,0,1404 SOUTH 40TH STREET,SAN DIEGO,92113
DAY CARE CENTER,CHEROKEE POINT STATE PRESCHOOL/HEAD START PROGRAM,LICENSED,0,0,3735 38TH STREET,SAN DIEGO,92105
DAY CARE CENTER,CHILD DEVELOPMENT CENTER AT MIRA COSTA COLLEGE,LICENSED,0,0,1 BARNARD DRIVE,OCEANSIDE,92056
DAY CARE CENTER,CHILDREN'S ACADEMY,CLOSED,0,5,2960 OCEANSIDE BLVD,OCEANSIDE,92054
DAY CARE CENTER,CHILDREN'S ACADEMY,CLOSED,0,0,2960 OCEANSIDE BOULEVARD #2,OCEANSIDE,92054
DAY CARE CENTER,CHILDREN'S ATELIER CENTER,LICENSED,0,0,1508 WINDSOR ROAD,CARDIFF BY THE SEA,92007
DAY CARE CENTER,CHILDREN'S CHOICE,LICENSED,0,0,8824 COTTONWOOD AVENUE,SANTEE,92071
DAY CARE CENTER,CHILDREN'S CHOICE,LICENSED,0,0,1465 EAST MADISON AVENUE,EL CAJON,92019
DAY CARE CENTER,CHILDREN'S CHOICE ACADEMY,LICENSED,0,2,12464 WOODSIDE AVENUE,LAKESIDE,92040
